Location,mean,count
ACT,142.6801192202352,6207
Adelaide,77.26713054000908,6611
Adelaide Hills & Barossa,55.0699481865285,193
Albany & Great Southern,79.34563758389261,149
Albury Area,63.39277108433735,415
Alice Springs & Central Australia,88.91694352159469,301
Bairnsdale & Gippsland,78.96666666666667,375
Ballarat & Central Highlands,68.71179401993355,602
"Bendigo, Goldfields & Macedon Ranges",59.7111801242236,805
Blue Mountains & Central West,84.85278372591006,934
Brisbane,93.61281030444965,21350
Broome & Kimberley,92.36379928315412,279
Bunbury & South West,65.57052297939778,631
Bundaberg & Wide Bay Burnett,92.92401960784314,408
Cairns & Far North,74.4092728485657,1499
Central & South East TAS,60.0,57
Coffs Harbour & North Coast,78.22260273972603,438
Coober Pedy & Outback SA,89.89814814814815,108
Darwin,94.44444444444444,1251
Devonport & North West,70.37890625,256
Dubbo & Central NSW,91.72613458528951,639
Far West & North Central NSW,90.08928571428571,196
Fleurieu Peninsula & Kangaroo Island,50.546875,64
"Geraldton, Gascoyne & Midwest",101.88757396449704,338
Gladstone & Central QLD,85.48305084745763,708
Gold Coast,66.36051382295449,3581
Gosford & Central Coast,71.5213004484305,1338
Hervey Bay & Fraser Coast,76.48758865248227,282
Hobart,75.03397129186602,1045
Horsham & Grampians,74.31818181818181,209
"Kalgoorlie, Goldfields & Esperance",96.06286043829296,867
Katherine & Northern Australia,97.28260869565217,184
Launceston & North East,70.46511627906976,387
Lismore & Far North Coast,79.48277982779828,813
Mackay & Coalfields,91.76044732195409,1699
Mandurah & Peel,73.23,250
Melbourne,89.02044833595077,46483
Mildura & Murray,89.72964169381108,307
Mornington Peninsula & Bass Coast,58.86035422343324,734
Mt Gambier & Limestone Coast,80.03892215568862,167
"Newcastle, Maitland & Hunter",80.85942654148693,3941
Northam & Wheatbelt,64.5506329113924,158
Northern QLD,86.67552118359113,1487
Perth,92.06705417521465,13161
"Port Hedland, Karratha & Pilbara",99.53276699029126,1648
Port Macquarie & Mid North Coast,110.80662393162393,468
Richmond & Hawkesbury,63.42142857142857,140
Riverland & Murray Mallee,56.74657534246575,146
Rockhampton & Capricorn Coast,89.28680555555556,720
Shepparton & Goulburn Valley,68.72166666666666,600
Somerset & Lockyer,76.44615384615385,65
South West Coast VIC,65.25882352941177,1785
Southern Highlands & Tablelands,65.01293103448276,464
Sunshine Coast,68.25257400257401,1554
Sydney,103.27868744004499,60462
Tamworth & North West NSW,85.77668308702792,609
Toowoomba & Darling Downs,67.14258409785933,1308
"Tumut, Snowy & Monaro",100.31976744186046,86
Wagga Wagga & Riverina,70.13420724094881,801
West Gippsland & Latrobe Valley,75.11888111888112,572
Western QLD,101.7431906614786,514
Whyalla & Eyre Peninsula,69.99004975124379,201
"Wollongong, Illawarra & South Coast",72.69272727272727,1650
Yarra Valley & High Country,56.55711422845691,499
Yorke Peninsula & Clare Valley,62.01063829787234,94